Country of Origin,Name,Team,DOB,Position
Canada,Wayne Gretzky,Edmonton Oilers,1961-01-26,C
Canada,Gordie Howe,Detroit Red Wings,1928-03-31,RW
Russia,Alex Ovechkin,Washington Capitals,1985-09-17,LW
Czech Republic,Jaromir Jagr,Pittsburgh Penguins,1972-02-15,RW
Canada,Brett Hull,St. Louis Blues,1964-08-09,RW
Canada,Marcel Dionne,Los Angeles Kings,1951-08-03,C
Canada,Phil Esposito,Boston Bruins,1942-02-20,C
Canada,Mike Gartner,Washington Capitals,1959-10-29,RW
Canada,Mark Messier,Edmonton Oilers,1961-01-18,C
Canada,Steve Yzerman,Detroit Red Wings,1965-05-09,C
Canada,Mario Lemieux,Pittsburgh Penguins,1965-10-05,C
Canada,Luc Robitaille,Los Angeles Kings,1966-02-17,LW
Canada,Teemu Selanne,Anaheim Ducks,1970-07-03,RW
Sweden,Peter Forsberg,Colorado Avalanche,1973-07-20,C
Canada,Dave Andreychuk,Buffalo Sabres,1963-09-29,LW
Canada,Joe Sakic,Colorado Avalanche,1969-07-07,C
Canada,Adam Oates,Washington Capitals,1962-08-27,C
Canada,Paul Coffey,Edmonton Oilers,1961-06-01,D
Canada,Ron Francis,Pittsburgh Penguins,1963-03-01,C
Canada,Mike Modano,Dallas Stars,1970-06-07,C
Canada,Stan Mikita,Chicago Blackhawks,1940-05-20,C
Canada,Bobby Hull,Chicago Blackhawks,1939-01-03,LW
Canada,Doug Gilmour,Toronto Maple Leafs,1963-06-25,C
Canada,Ray Bourque,Boston Bruins,1960-12-28,D
Canada,Denis Savard,Chicago Blackhawks,1961-02-04,C
Canada,Jean Ratelle,Boston Bruins,1940-10-03,C
Canada,Bryan Trottier,New York Islanders,1956-07-17,C
Canada,Guy Lafleur,Montreal Canadiens,1951-09-20,RW
Canada,Larry Murphy,Pittsburgh Penguins,1961-03-08,D
Canada,Al MacInnis,Calgary Flames,1963-07-11,D
Canada,Scott Stevens,New Jersey Devils,1964-04-01,D
Canada,Chris Chelios,Chicago Blackhawks,1962-01-25,D
Canada,Mark Howe,Philadelphia Flyers,1955-05-28,D
Canada,Paul Kariya,Anaheim Ducks,1974-10-16,LW
Canada,Vincent Lecavalier,Tampa Bay Lightning,1980-04-21,C
Canada,Daniel Alfredsson,Ottawa Senators,1972-12-11,RW
Canada,Brendan Shanahan,Detroit Red Wings,1969-01-23,LW
Canada,Mats Sundin,Toronto Maple Leafs,1971-02-13,C
Canada,Pat Lafontaine,Buffalo Sabres,1965-02-22,C
Canada,Jeremy Roenick,Phoenix Coyotes,1965-01-17,C
Canada,Theoren Fleury,Calgary Flames,1968-06-29,RW
Canada,Michel Goulet,Quebec Nordiques,1960-04-21,LW
Canada,Claude Lemieux,Montreal Canadiens,1965-07-16,RW
Canada,John LeClair,Philadelphia Flyers,1969-07-05,LW
Canada,Keith Tkachuk,Phoenix Coyotes,1972-03-28,LW
Canada,Alexander Mogilny,Vancouver Canucks,1969-02-18,RW
Canada,Dino Ciccarelli,Minnesota North Stars,1960-02-08,RW
Canada,Geoff Sanderson,Vancouver Canucks,1972-02-01,LW
Canada,Shawn Burr,Vancouver Canucks,1966-07-01,LW
Canada,Rick Tocchet,Philadelphia Flyers,1964-04-09,RW
Canada,Todd Bertuzzi,Vancouver Canucks,1975-02-02,RW
