Name,GP,G,A,P,PIM
Wayne Gretzky,1487,894,1963,2857,577
Gordie Howe,1767,801,1049,1850,1685
Alex Ovechkin,1414,853,685,1538,738
Jaromir Jagr,1733,766,1155,1921,1167
Brett Hull,1269,741,650,1391,458
Marcel Dionne,1348,731,1040,1771,600
Phil Esposito,1282,717,873,1590,910
Mike Gartner,1432,708,627,1335,715
Mark Messier,1756,694,1193,1887,1910
Steve Yzerman,1514,692,1063,1755,924
Mario Lemieux,915,690,1033,1723,834
Luc Robitaille,1431,668,726,1394,116
Teemu Selanne,1451,684,773,1457,660
Peter Forsberg,708,249,636,885,615
Dave Andreychuk,1639,640,698,1338,1129
Joe Sakic,1378,625,1016,1641,614
Adam Oates,1337,341,1079,1420,564
Paul Coffey,1409,396,1135,1531,1806
Ron Francis,1731,549,1118,1667,979
Mike Modano,1499,561,813,1374,666
Stan Mikita,1394,541,926,1467,1270
Bobby Hull,1063,610,560,1170,640
Doug Gilmour,1474,450,964,1414,755
Ray Bourque,1612,410,1169,1579,1141
Denis Savard,1196,473,865,1338,1338
Jean Ratelle,1281,491,776,1267,172
Bryan Trottier,1279,524,901,1425,912
Guy Lafleur,1126,560,793,1353,399
Larry Murphy,1615,287,929,1216,1429
Al MacInnis,1416,340,934,1274,1418
Scott Stevens,1635,196,712,908,2788
Chris Chelios,1651,185,763,948,2891
Mark Howe,929,197,545,742,453
Paul Kariya,989,402,587,989,418
Vincent Lecavalier,1212,421,491,912,807
Daniel Alfredsson,1246,444,713,1157,510
Brendan Shanahan,1524,656,698,1354,2485
Mats Sundin,1346,564,785,1349,1049
Pat Lafontaine,865,468,545,1013,326
Jeremy Roenick,1363,513,703,1216,1329
Theoren Fleury,1084,455,633,1088,1840
Michel Goulet,1089,548,604,1152,719
Claude Lemieux,1215,379,408,787,2107
John LeClair,967,406,413,819,543
Keith Tkachuk,1201,538,527,1065,2349
Alexander Mogilny,990,473,459,932,432
Dino Ciccarelli,1232,608,592,1200,1462
Geoff Sanderson,1111,290,476,766,432
Shawn Burr,878,324,386,710,1058
Rick Tocchet,1144,440,512,952,2829
Todd Bertuzzi,1167,318,417,735,1809
